Domain|Name|Title|Implementation|DefaultValue|Kind|Remarks
ORG|02|Initialization Check in Initialization Procedure of OutRegistry (closes BAS-1)|This Adaptation Point is closed at framework level. The maximum number of trackable commands/reports is a statically defined configuration parameter of the framework. Hence, the check required by this requirement is performed Configuration Check Function \texttt{CrFwAuxOutRegistryConfigCheck} (see section \ref{sec:ConfigCheck} of reference [CR-UM]). This configuration check is therefore implemented to always return ?check successful?.|Returns 'check successful' if the maximum number of trackable commands/reports has been set to a positive integer value.|SPC|
ORG|03|Initialization Action in Initialization Procedure of OutRegistry (closes BAS-2)|This Adaptation Point is closed at framework level.|Allocate the resources for tracking the commands and reports and returns: 'action successful' if the allocation succeeds or 'action failed' if the allocation fails.|SPC|
ORG|04|Configuration Check in Reset Procedure of OutRegistry (closes BAS-3)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
ORG|05|Configuration Action in Reset Procedure of OutRegistry (closes BAS-4)|This Adaptation Point is closed at framework level.|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports; and return: 'action successful'.|SPC|
ORG|06|Shutdown Action of OutRegistry (closes BAS-5)|This Adaptation Point is closed at framework level.|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports.|SPC|
ORG|07|Execution Procedure of OutRegistry (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
OSR|01|Initialization Check in Initialization Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|02|Initialization Action in Initialization Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|03|Configuration Check in  Reset Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Returns 'check successful' if the information to set up the link between the packet destinations and the OutStreams is available.|SPC|
OSR|04|Configuration Action in Reset Procedure of OutStreamRegistry|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Set up and configure the link between the packet destinations and the OutStreams.|SPC|
OSR|05|Shutdown Action  of OutStreamRegistry (closes BAS-5)|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|06|Execution Procedure of OutStreamRegistry (closes BAS-6)|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|Same value as in Base Component|SPC|
OSR|07|Get OutStream Operation of OutStreamRegistry|\texttt{\#DEFINE} constants \texttt{CR\_FW\_OUTSTREAM\_DEST\_PAIRS} in \texttt{CrFwOutStreamUserPar.h} defines the destinations associated to each OutStream.|No default provided at framework level|SPC|
OST|01|Packet Queue Size for OutStream|\texttt{\#DEFINE} constant (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}|No value defined at framework level|SPC|
OST|02|Initialization Check in Initialization Procedure of OutStream|This adaptation point is closed at framework level. Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwCmpBase.h}. The size of the Packet Queue is a statically defined configuration parameter. The fact that it must be positive is checked by the Configuration Check Function \texttt{CrFwAuxOutStreamConfigCheck} (see section \ref{sec:ConfigCheck} of reference [CR-UM]).|Returns 'check successful' if the size of the Packet Queue has been set to a positive integer|SPC|
OST|03|Initialization Action in Initialization Procedure of OutStream|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}.|Allocate resources for the Packet Queue and return 'Action Successful'|SPC|
OST|04|Configuration Check in Initialization Procedure of OutStream|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwCmpBase.h}.|Same value as in Base Component|SPC|
OST|05|Configuration Action in Reset Procedure of OutStream|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}.|Reset the Packet Queue and return 'Action Successful'|SPC|
OST|06|Shutdown Action of OutStream|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Default implementation is provided in \texttt{CrFwOutStream.h}..|Reset the Packet Queue and release the memory allocated to it|SPC|
OST|07|Execution Procedure of OutStream (closes BAS-6)|This Adaptation Point is closed at framework level.|Same value as in Base Component|SPC|
OST|08|Packet Hand-Over Operation of OutStream|Function pointers (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h}. Only a test stub is provided as default at framework level.|No value defined at framework level|SPC|
OST|09|Operation to set Sequence Counter in Outgoing Packets|Implemented by Adaptation Point ERROR:9087|No value defined at framework level|SPC|
OST|10|Operation to set Type Counter in Outgoing Packets|Implemented by Adaptation Point ERROR:9087|No value defined at framework level|SPC|
OST|11|Type Counter Set DST\_SET|Function \texttt{CrFwOutStreamDefSetDTS} serves as a test stub which builds the DTS\_SET based on the destination identifier being equal to 1 and using all (service type, service sub-type) pairs defined in \texttt{CR\_FW\_OUTCMP\_INIT\_KIND\_DESC}.|No value defined at framework level|SPC|
OST|12|Operation to Report Packet Queue Full|Implementation of one of the functions in the generic error reporting interface \texttt{CrFwRepErr.h}. Only a test stub is provided as default at framework level.|Generate OUTSTREAM\_PQ\_FULL Error Report|SPC|
OST|13|Operation to Compute and Set a Packet's CRC|Implementation of function \texttt{CrFwComputeAndSetCrc} in interface \texttt{CrFwPckt.h}. Only a test stub is provided by default at framework level.|Set CRC to 0xFFFF|SPC|
OST|14|Operation to get Group to which Out-Going Packet belongs|Implemented through adaptation point ERROR:9087|No value defined at framework level|SPC|
OST|15|Association of Packet Destinations to their OutStreams|\texttt{\#DEFINE} constants in \texttt{CrFwOutStreamUserPar.h} define, for each potential packet destination A, the OutStream which is responsible for handling packets going to destination A. The same OutStream may handle packets going to multiple destinations.|No value defined at framework level|IMP|
C2-CST|01|Identifier of Host Application|\texttt{\#DEFINE} constant in \texttt{CrFwUserConstants.h}.|No value defined at framework level|IMP|
C2-CST|02|Range of Service Type, Sub-Type and Discriminants for InCommands and InReports|\texttt{\#DEFINE} constants in \texttt{CrFwUserConstants.h}|No value defined at framework level|IMP|
C2-CST|03|Maximum Value of the Identifiers of Destination Applications|\texttt{\#DEFINE} constants in \texttt{CrFwUserConstants.h}|No value defined at framework level|IMP|
C2-TYP|01|Definition of Primitive Types|Definition of \texttt{typedef}.values in \texttt{CrFwUserConstants.h}. Default values are pre-defined in this header file.|Reasoane values are pre-defined in \texttt{CrFwUserConstants.h}|IMP|
