Domain|Domain|Name|Kind|Title|Default Value|CTwoCat|CTwoId|Implementation|Description|Remarks|Parent Req|ValSet|Owner|Rationale
ILD|AP-ILD|9|SPC|Operation to Determine Re-Routing Destination of Packets|Re0routing destination is set to the destination of the incoming packet.|C2-ILD|1|Function pointer in \texttt{CrFwInLoaderUserPar.h}. Default implementation is provided \texttt{CrFwInLoader.h}.|||ILD:2|Default|pasetti|
ILD|AP-ILD|10|SPC|Operation to Get Packet Destination|No default provided at framework level.|0|0|Implemented by Adaptation Point C2-PCK-1.|||ILD:2|Default|pasetti|
ILD|AP-ILD|11|SPC|Operation to Check Packet Destination Validity|Always returns “destination is valid'.|0|0|The check of the destination validity is performed by the function which returns the re-routing destination.|||ILD:2|Default|pasetti|
ILD|AP-ILD|12|SPC|Operation to Report Packet Destination Invalid |Generate error report INLOADER\_INV\_DEST with the destination identifier as a parameter|0|0|Implemented by Adaptation Point C2-ERR-1.|||ILD:2|Default|pasetti|
ILD|AP-ILD|13|SPC|Operation to Get Packet Type|No default provided at framework level|0|0|Implemented by Adaptation Point C2-PCK-1.|||ILD:2|Default|pasetti|
ILD|AP-ILD|14|SPC|Operation to Report Acceptance Failure|For InCommands: generate command acknowledge report CMD\_ACK\_ACC\_FAIL with command's identifier and with identifier of reason of failure as parameters.. For InReports: generate error report INLOADER\_ACC\_FAIL with report's identifier and with identifier of reason of acceptance failure as parameters.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ILD:2|Default|pasetti|
ILD|AP-ILD|15|SPC|Operation to Report Acceptance Success|Generate command acknowledge report CMD\_ACK\_ACC\_SUCC with command's identifier as parameter.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ILD:2|Default|pasetti|
ILD|AP-ILD|16|SPC|Operation to Deserialize Packet|No default provided at framework level.|0|0|Packets are not deserialized in the C2 Implementation. Instead, the packet itself is attached to the component encapsulating the incoming report or command. This adaptation point is closed in the C2 Implementation.|||ILD:2|Default|pasetti|
ILD|AP-ILD|17|SPC|Operation to Select InManager where Incoming Report or Command is Loaded|For InCommands, select first InManager in LIM; for InReport, select second InManager in LIM.|C2-ILD|1|Function pointer in \texttt{CrFwInLoaderUserPar.h}. Default implementation is provided \texttt{CrFwInLoader.h}.|||ILD:2|Default|pasetti|
ILD|AP-ILD|18|SPC|Operation to Check Packet Type Validity|No default provided at framework level|0|0|This check is implemented in function \textit{CrFwInFactoryMakeInCmd} for incoming command and in function \textit{CrFwInFactoryMakeInRep} for incoming report. These functions check that the type is supported by the application.|||ILD:2|Default|pasetti|
ICM|AP-ICM|1|SPC|Initialization Check in Initialization Procedure of InCommand|Returns “check successful' if information for initializing InCommand using data in incoming packet is valid|0|0|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state  (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||ICM:3|Default|pasetti|
ICM|AP-ICM|2|SPC|Initialization Action in Initialization Procedure of InCommand|Use information in incoming packet to initialize InCommand and return “action successful' |0|0|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||ICM:3|Default|pasetti|
ICM|AP-ICM|3|SPC|Configuration Check in Reset Procedure of InCommand|Returns “check successful' if information carried by packet is valid|0|0|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||ICM:3|Default|pasetti|
ICM|AP-ICM|4|SPC|Configuration Action in Reset Procedure of InCommand|Use information in incoming packet to configure InCommand and return “action successful' |0|0|This Adaptation Point is closed in the C2 Implementation because InCommands are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||ICM:3|Default|pasetti|
C2-ICM|C2-ICM|1|IMP|Validity Check for InCommand|0|C2-ICM|1|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation which verifies correctness of CRC is provided by function \texttt{CrFwInCmdDefValidityCheck}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|5|SPC|Shutdown Action of InCommand (closes BAS-5)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||ICM:3|Default|pasetti|
ICM|AP-ICM|6|SPC|Execution Procedure of InCommand (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||ICM:3|Default|pasetti|
ICM|AP-ICM|7|SPC|Ready Check of InCommand|Return “command is ready'|C2-ICM|2|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmCheckAlwaysTrue}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|8|SPC|Start Action of InCommand|Set action outcome to “success'|C2-ICM|3|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|9|SPC|Progress Action of InCommand|Set action outcome to “completed'|C2-ICM|4|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|10|SPC|Termination Action of InCommand|Set action outcome to “success'|C2-ICM|5|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|11|SPC|Abort Action of InCommand|Do nothing|C2-ICM|6|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided by function \texttt{CrFwSmEmptyAction}.|||ICM:3|Default|pasetti|
ICM|AP-ICM|12|SPC|Operation to Report Start Failed for InCommand|Generate command acknowledge report CMD\_ACK\_STR\_FAIL with command's identifier and with identifier of reason of failure as parameters.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|13|SPC|Operation to Report Start Successful for InCommand|Generate command acknowledge report CMD\_ACK\_STR\_SUCC with command's identifier as parameter.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|14|SPC|Operation to Report Progress Failed for InCommand|Generate command acknowledge report CMD\_ACK\_PRG\_FAIL with command's identifier, progress step and with identifier of reason of failure as parameters.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|15|SPC|Operation to Report Progress Successful for InCommand|Generate command acknowledge report CMD\_ACK\_PRG\_SUCC with command's identifier and progress step as parameters.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|16|SPC|Operation to Report Termination Failed for InCommand|Generate command acknowledge report CMD\_ACK\_TRM\_FAIL with command's identifier and with identifier of reason of failure as parameters.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|17|SPC|Operation to Report Report Termination Successful for InCommand|Generate command acknowledge report CMD\_ACK\_TRM\_FAIL with command's identifier as parameter.|0|0|Implemented by Adaptation Point C2-ACK-1.|||ICM:3|Default|pasetti|
ICM|AP-ICM|18|SPC|Service Type Attribute of InCommand|No default provided at framework level|0|0|Implemented by Adaptation Point C2-IFA-4.|||ICM:3|Default|pasetti|
ICM|AP-ICM|19|SPC|Command Sub-Type Attribute of InCommand|No default provided at framework level|0|0|Implemented by Adaptation Point C2-IFA-4.|||ICM:3|Default|pasetti|
ICM|AP-ICM|20|SPC|Discriminant Attribute of InCommand|Default value is: “no discriminant'|0|0|Implemented by Adaptation Point C2-IFA-4.|||ICM:3|Default|pasetti|
ICM|AP-ICM|21|SPC|Parameter Attributes of InCommand|Default value is: “no parameters'|0|0|This Adaptation Point is implemented indirectly: applications must extend InCommands and must define the range of parameters for each kind of InCommand and the operations to get their values. |||ICM:3|Default|pasetti|
IRP|AP-IRP|1|SPC|Initialization Check in Initialization Procedure of InReport|Returns “check successful' if information for initializing InReport using data in incoming packet is valid|0|0|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||IRP:2|Default|pasetti|
IRP|AP-IRP|2|SPC|Initialization Action in Initialization Procedure of InReport|Use information in incoming packet to initialize InReport and return “action successful' |0|0|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||IRP:2|Default|pasetti|
IRP|AP-IRP|3|SPC|Configuration Check in Reset Procedure of InReport|Returns “check successful' if information for configuring InReport using data in incoming packet is valid|0|0|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||IRP:2|Default|pasetti|
IRP|AP-IRP|4|SPC|Configuration Action in Reset Procedure of InReport|Use information in incoming packet to configure InReport and return “action successful' |0|0|This Adaptation Point is closed by the C2 Implementation because InReports are provided by the InFactory in the CONFIGURED state (but a validity check is provided in C2-ICM-1 to implement the acceptance check).|||IRP:2|Default|pasetti|
C2-IRP|C2-IRP|1|IMP|Validity Check for InReport|0|C2-IRP|1|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation which verifies correctness of CRC is provided by function \texttt{CrFwInRepDefValidityCheck}.|||IRP:2|Default|pasetti|
IRP|AP-IRP|5|SPC|Shutdown Action of InReport (closes BAS-5)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IRP:2|Default|pasetti|
IRP|AP-IRP|6|SPC|Execution Procedure of InReport (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IRP:2|Default|pasetti|
IRP|AP-IRP|7|SPC|Update Action of InReport|Do nothing|C2-IRP|2|Function pointer in \texttt{CrFwInFactoryUserPar.h}. Default implementation is provided at framework level.|||IRP:2|Default|pasetti|
IRP|AP-IRP|8|SPC|Service Type Attribute of InReport|No default provided at framework level|0|0|Implemented by Adaptation Point C2-IFA-3.|||IRP:2|Default|pasetti|
IRP|AP-IRP|9|SPC|Sub-Type Attribute of InReport|No default provided at framework level|0|0|Implemented by Adaptation Point C2-IFA-3.|||IRP:2|Default|pasetti|
IRP|AP-IRP|10|SPC|Discriminant Attribute of InReport|Default value is: “no discriminant'|0|0|Implemented by Adaptation Point C2-IFA-3.|||IRP:2|Default|pasetti|
IRP|AP-IRP|11|SPC|Parameter Attribute of InReport|Default value is: “no parameters'|0|0|This Adaptation Point is implemented indirectly: applications must extend InCommands and must define the range of parameters for each kind of InCommand and the operations to get their values. |||IRP:2|Default|pasetti|
C2-IMG|C2-IMG|1|IMP|Number of InManagers in Application|0|C2-IMG|1|\texttt{\#DEFINE} constants in \texttt{CrFwInManagerUserPar.h}|||IMG:2|Default|pasetti|
IMG|AP-IMG|1|SPC|Size of PCRL of InManager|Default size is 1.|C2-IMG|2|\texttt{\#DEFINE} constants (one for each InManager) in \texttt{CrFwInManagerUserPar.h}|||IMG:2|Default|pasetti|
IMG|AP-IMG|2|SPC|Initialization Check in Initialization Procedure of InManager (closes BAS-1)|Returns “check successful' if the size of the PCRL has been set to a positive integer value.|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|3|SPC|Initialization Action in Initialization Procedure of InManager (closes BAS-2)|Allocate resources for PCRL and return “Action Successful' iff the allocation succeeds|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|4|SPC|Configuration Check in Reset Procedure of InManager (closes BAS-3)|Same as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|5|SPC|Configuration Action in Reset Procedure of InManager (closes BAS-4)|Release all InCommands and InReports in the PCRL; reset the counter of successfully loaded InCommands and InReports; reset the PCRL; and return “Action Successful'|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|6|SPC|Shutdown Action of InManager (closes BAS-5)|Release all InCommands and InReports in the PCRL; reset the PCRL;|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|7|SPC|Execution Procedure of InManager (closes BAS-6)|Implemented as InManager Execution Procedure.|0|0|This Adaptation Point is closed at framework level.|||IMG:2|Default|pasetti|
IMG|AP-IMG|8|SPC|Operation to Report PCRL of InManager Full|Generate INMANAGER\_PCRL\_FULL Error Report|0|0|Implemented by Adaptation Point C2-ERR-1.|||IMG:2|Default|pasetti|
IRG|AP-IRG|1|SPC|Maximum Number of Trackable InCommands/InReports in InRegistry|Default value is 1.|C2-IRG|1|\texttt{\#DEFINE} constant in \texttt{CrFwInRegistryUserPar.h}|||IRG:2|Default|pasetti|
IRG|AP-IRG|2|SPC|Initialization Check in Initialization Procedure of InRegistry (closes BAS-1)|Returns “check successful' if the maximum number of trackable InCommands/InReports has been set to a positive integer value.|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
IRG|AP-IRG|3|SPC|Initialization Action in Initialization Procedure of InRegistry (closes BAS-2)|Allocate the resources for tracking the commands and reports and returns: “action successful' if the allocation succeeds or “action failed' if the allocation fails.|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
IRG|AP-IRG|4|SPC|Configuration Check in Reset Procedure of InRegistry (closes BAS-3)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
IRG|AP-IRG|5|SPC|Configuration Action in Reset Procedure  (closes BAS-4)|Clear all information about tracked InCommands and InReports; return: “action successful'.|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
IRG|AP-IRG|6|SPC|Shutdown Action of InRegistry (closes BAS-5)|Clear all information about tracked InCommands and InReports.|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
IRG|AP-IRG|7|SPC|Execution Procedure of InRegistry (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IRG:2|Default|pasetti|
C2-TIM|C2-TIM|1|IMP|Operations to Get the Current Time|0|C2-TIM|1|Implementation of \texttt{CrFwTime.h}. Only a test stub is provided as default at framework level.||||Default|pasetti|
C2-TYP|C2-TYP|1|IMP|Definition of Primitive Types|0|C2-TYP|1|Definition of \texttt{typedef}.values in \texttt{CrFwUserConstants.h}. Default values are pre-defined in this header file.||||Default|pasetti|
C2-CST|C2-CST|1|IMP|Identifier of Host Application|0|C2-CST|1|\texttt{\#DEFINE} constant in \texttt{CrFwUserConstants.h}.||||Default|pasetti|
