ReqN|ReqTitle|ReqText|Status|Justification||||
b||Each successful acceptance verification report shall contain exactly one successful acceptance notification.|C1|See definition of InLoader component: the operation to Report Acceptance Success is called once for each incoming command which passes its acceptance check||||
c||Each successful acceptance notification shall contain: \newline 1. the identifier of the request that successfully passed the acceptance verification.|C1|The specification of the content of the (1,1) reports offered by the PUS Extension of the CORDET Framework follows the PUS||||
d||For each request that successfully passes its acceptance verification, the acceptance and reporting subservice shall: \newline 1. if the successful acceptance reporting is requested, generate a single successful acceptance notification and associated report for that request.|C1|See definition of InLoader component in the CORDET Framework.||||
6.1.4.3a|Reporting failed acceptance|The acceptance and reporting subservice shall provide the capability to report the failed acceptance of requests.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||Each failed acceptance verification report shall contain exactly one failed acceptance notification.|C1|Each service 1 report provided by the PUS Extension of the CORDET Framework covers one single command failure.||||
c||Each failed acceptance notification shall contain: \newline 1. the identifier of the request that failed the acceptance verification; \newline 2. the failure notice made of: \newline (a) a failure code; \newline (b) auxiliary data, if any, used to explain the reason for the failed acceptance.|C1|The specification of the service 1 reports offered by the PUS Extension of the CORDET Framework follows the PUS||||
d||The list of failure codes defined for failed acceptance notifications shall be declared when specifying the acceptance and reporting subservice.|C1/C2|The failure codes defined at the level of the PUS Extension of the CORDET Framework are defined in requirement P-S1-13 but applications may define additional failure codes.||||
e||For each failure code defined for failed acceptance notifications, the associated auxiliary data shall be declared when specifying the acceptance and reporting subservice.|C1|For each acceptance failure report, one single item of auxiliary data may be defined. For the failure codes supported by the PUS Extension of the CORDET Framework, these are specified in requirement P-S1-13.||||
f||For each request that fails its acceptance verification, the acceptance and reporting subservice shall: \newline 1. generate a single failed acceptance notification and associated report for that request; \newline 2. discard that request.|C1|The generation of the failure notification and the discarding of requests which fail their acceptance check is done by the InLoader component of the CORDET Framework. ||||
6.1.5.1.1a|Reporting successful start of execution|The execution reporting subservice shall provide the capability to generate the successful start of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each successful start of execution notification that it receives, the execution reporting subservice shall: \newline 1. if the successful start of execution reporting is requested, generate a single successful start of execution verification report containing that notification.|C1|See definition of report component VerStartSucc. Note that  the processing of a incoming command can result in at most one single Successful Start of Execution Notification.||||
6.1.5.1.2a|Reporting failed start of execution|The execution reporting subservice shall provide the capability to generate the failed start of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each failed start of execution notification that it receives, the execution reporting subservice shall: \newline 1. generate a single failed start of execution verification report containing that notification.|C1|See definition of report component VerStartFailed. Note that a command whose start of execution fails is discarded (i.e. the command terminates with the generation of a (1,4) report). Note also that the processing of a incoming command can result in at most one single Failed Start of Execution Notification.||||
6.1.5.2.1a|Reporting successful progress of execution|The execution reporting subservice shall provide the capability to generate the successful progress of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each successful progress of execution notification that it receives, the execution reporting subservice shall: \newline 1. if the successful progress of execution reporting is requested, generate a single successful progress of execution verification report containing that notification.|C1/C2|See definition of report component VerPrgrSucc. The definition of the progress steps is under the responsibility of applications (see adaptation point P-S1-7)||||
6.1.5.2.2a|Reporting failed progress of execution|The execution reporting subservice shall provide the capability to generate the failed progress of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each failed progress of execution notification that it receives, the execution reporting subservice shall: \newline 1. if the application process that hosts the execution reporting subservice is configured for the corresponding request type to report the failed progress of execution notifications in failed progress of execution verification reports, generate a single failed progress of execution verification report containing that notification.|C1|See definition of report component VerPrgrFailed. Note that a command whose progress of execution fails is discarded (i.e. the command terminates with the generation of a (1,6) report).||||
6.1.5.3.1a|Reporting successful completion of execution|The execution reporting subservice shall provide the capability to generate the successful completion of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each successful completion of execution notification that it receives, the execution reporting subservice shall: \newline 1. if the successful completion of execution reporting is requested, generate a single successful completion of execution verification report containing that notification.|C1|See definition of report component VerTermSucc.||||
6.1.5.3.2a|Reporting failed completion of execution|The execution reporting subservice shall provide the capability to generate the failed completion of execution verification reports.|C1|The PUS Extension of the CORDET Framework implements service 1 in full (see requirements P-S1-*).||||
b||For each failed completion of execution notification that it receives, the execution reporting subservice shall: \newline 1. generate a single failed completion of execution verification report containing that notification.|C1|See definition of report component VerTermFailed.||||
c||For each failed completion of execution notification that is accompanied of failed progress of executions notifications to be reported as part of the completion of execution verification report, the execution reporting subservice shall include those failed progress of execution notifications in the failed completion of execution notification.|TBD|By default, in the PUS Extension of the CORDET Framework, the failure of progress of execution is reported through a (1,6) report and the generation of the (1,6) report excludes the generation of the (1,8) report. See justification of compliance to clause 5.4.9a. \newline \newline NB: The practical implications of this requirement are not understood. Suppose that we have a situation where a command has generated five Failed-Progress-Of-Execution notifications and that it has been agreed that these must be included in the Failed-Completiong-Of-Execution notification. I assume that this means that the TM(1,8) for this command will have to somehow include the five failure codes (and any associated auxiliary data) for the five Failed-Progress-Of-Execution notifications. But how can this be done in view of the fact that the layout of the TM(1,8) in clause 8.1.2.8 only includes one single Failure Notice?||||
6.2|Device Access|Definition of service 2|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.3.2.1.1a|Housekeeping reporting subservice|Each housekeeping service shall contain at least one housekeeping reporting subservice.|C1|The PUS Extension of the CORDET Framework includes support for the reporting subservice||||
6.3.2.1.2a|Diagnostic reporting subservice|Each housekeeping service shall contain zero or more diagnostic reporting subservices.|C1|The PUS Extension of the CORDET Framework includes support for the diagnostic subservice||||
6.3.2.1.3a|Parameter functional reporting configuration subservice|Each housekeeping service shall contain at most one parameter functional reporting configuration subservice.|n.a.|The PUS Extension of the CORDET Framework does not support the parameter functional configuration subservice||||
6.3.2.2.1a|Housekeeping reporting subservice|Each application process shall host at most one housekeeping reporting subservice provider.|C1|The PUS Extension of the CORDET Framework supports one housekeeping reporting subservice per application||||
6.3.2.2.2a|Diagnostic reporting subservice|Each application process shall host at most one diagnostic reporting subservice provider.|C2|The PUS Extension of the CORDET Framework supports one diagnostic reporting subservice per application||||
6.3.2.2.3a|Parameter functional reporting configuration subservice|Each application process shall host at most one parameter functional reporting configuration subservice provider.|n.a.|The PUS Extension of the CORDET Framework does not support the parameter functional configuration subservice||||
6.3.3.1|Parameter accessibility|The housekeeping reporting subservice shall be able to collect and report the sampled values of each on-board parameter that is accessible to the application process that hosts that subservice.|C1|The housekeeping reports report the values of the data items in the data pool which contain all application parameters and variables||||
6.3.3.2a|Housekeeping parameter report structure|The on-board resources allocated to the housekeeping reporting subservice to host the housekeeping parameter report structures shall be declared when specifying that subservice.|C2|The on-board resource dedicated to the housekeeping service is the data pool whose content must be defined by the user during the framework instantiation process (adaptation point P-DP-7). Additionally, the application developer must size the Report Definition List (RDL) data structure by defining the values of the constants HK\_*.||||
b||The on-board resources allocated to the contemporaneous evaluation of housekeeping parameter report structures used by the housekeeping reporting subservice shall be declared when specifying that subservice.|C2|See previous requirement||||
c||Each housekeeping parameter report structure shall consist of: \newline 1. a housekeeping parameter report structure identifier; \newline 2. the collection interval used to generate the corresponding reports; \newline 3. an ordered list of zero or more simply commutated parameters; \newline 4. an ordered list of zero or more super commutated parameter sets, each set consisting of: \newline (a) the number of sampled values to report for each parameter of that set, and \newline (b) the ordered list of one or more parameters contained within that set; \newline if the housekeeping reporting subservice provides the capability for managing the periodic generation of housekeeping parameter reports, a status indicating whether the periodic generation action of the corresponding housekeeping parameter reports is enabled or disabled.|C1|See specification of Report Definition List (RDL)||||
6.3.3.3a|Housekeeping parameter report structure|The housekeeping reporting subservice shall provide the capability for generating housekeeping parameter reports.|C1|The PUS Extension of the CORDET Framework supports reports (3,25)||||
b||Each housekeeping parameter report shall contain exactly one housekeeping parameter notification.|C1|See definition of hkRep component||||
c||Each housekeeping parameter notification shall contain: \newline 1. the housekeeping parameter report structure identifier; \newline 2. in the specified order for simply commutated parameters, a single sampled value for each simply commutated parameter; \newline 3. in the specified order for super commutated parameter sets, for each super commutated parameter set: \newline (a) the 'super commutated sample repetition number' sets of sampled values.|C1|See definition of hkRep component||||
d||For each housekeeping parameter report structure for which periodic generation is enabled, the housekeeping reporting subservice shall generate a corresponding housekeeping parameter report periodically, according to the collection interval specified for that definition.|C1/C2|See definition of HkRep component encapsulating a housekeeping report. Users are responsible for allocating the instances of this component to OutManager components which are executed with a frequency corresponding to the report's collection period.||||
e||For each housekeeping parameter report structure for which periodic generation is enabled, the housekeeping reporting subservice shall collect one sampled value for each simply commutated parameter during the collection interval specified for the corresponding housekeeping parameter report structure.|C1|See definition of hkRep component||||
f||For each housekeeping parameter report structure for which periodic generation is enabled, the housekeeping reporting subservice shall collect all sampled values for each super commutated parameter during the collection interval specified for the corresponding housekeeping parameter report structure, in accordance with a sub-period equal to the collection interval divided by the corresponding 'super commutated sample repetition number'.|C1/C2|The framework provides the Sampling Buffer as a data structure to hold super-commutated data items but the user is responsible for filling it with the sampled values of the super-commutated data items (see requirement P-S3-6)||||
6.3.3.4.1a|Enable the periodic generation of housekeeping parameter reports|The housekeeping reporting subservice capability to enable the periodic generation of housekeeping parameter reports shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports command (3,5)||||
b||Each request to enable the periodic generation of housekeeping parameter reports shall contain one or more instructions to enable the periodic generation of a housekeeping parameter report.|C1|See definition of HkEnable component||||
c||Each instruction to enable the periodic generation of a housekeeping parameter report shall contain: \newline 1. the housekeeping parameter report structure identifier to enable.|C1|See definition of HkEnable component||||
d||The housekeeping reporting subservice shall reject any instruction to enable the periodic generation of a housekeeping parameter report if: \newline 1. that instruction refers to a housekeeping parameter report structure that is unknown.|C1|See definition of Start Action of HkEnable component||||
e||For each instruction to enable the periodic generation of a housekeeping parameter report that it rejects, the housekeeping reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of HkEnable component||||
f||The housekeeping reporting subservice shall process any valid instruction that is contained within a request to enable the periodic generation of housekeeping parameter reports regardless of the presence of faulty instructions.|C1|See definition of Progress Action of HkEnable component||||
g||For each valid instruction to enable the periodic generation of a housekeeping parameter report, the housekeeping reporting subservice shall: \newline 1. set the periodic generation action status of that housekeeping parameter report structure to 'enabled'.|C1|See definition of Progress Action of HkEnable component||||
6.3.3.4.2a|Disable the periodic generation of housekeeping parameter reports|The housekeeping reporting subservice shall provide the capability to disable the periodic generation of housekeeping parameter reports if the capability to enable the periodic generation of housekeeping parameter reports is provided by that subservice.|C1|The PUS Extension of the CORDET Framework supports command (3,6)||||
b||Each request to disable the periodic generation of housekeeping parameter reports shall contain one or more instructions to disable the periodic generation of a housekeeping parameter report.|C1|See definition of HkDisable component||||
c||Each instruction to disable the periodic generation of a housekeeping parameter report shall contain: \newline 1. the housekeeping parameter report structure identifier to disable.|C1|See definition of HkDisable component||||
d||The housekeeping reporting subservice shall reject any instruction to disable the periodic generation of a housekeeping parameter report if: \newline 1. that instruction refers to a housekeeping parameter report structure that is unknown.|C1|See definition of Start Action of HkDisable component||||
e||For each instruction to disable the periodic generation of a housekeeping parameter report that it rejects, the housekeeping reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of HkDisable component||||
f||The housekeeping reporting subservice shall process any valid instruction that is contained within a request to disable the periodic generation of housekeeping parameter reports regardless of the presence of faulty instructions.|C1|See definition of Progress Action of HkDisable component||||
g||For each valid instruction to disable the periodic generation of a housekeeping parameter report, the housekeeping reporting subservice shall: \newline 1. set the periodic generation action status of that housekeeping parameter report structure to 'disabled'.|C1|See definition of Progress Action of HkDisable component||||
6.3.3.5.1a|Create a housekeeping parameter report structure|The housekeeping reporting subservice capability to create a housekeeping parameter report structure shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports command (3,1)||||
b||Each request to create a housekeeping parameter report structure shall contain exactly one instruction to create a housekeeping parameter report structure.|C1|See definition of HkCreate component||||
c||Each instruction to create a housekeeping parameter report structure shall contain: \newline 1. the housekeeping parameter report structure identifier to create; \newline 2. the collection interval; \newline 3. the list of simply commutated parameters in the required order; \newline 4. the list of super commutated parameter sets in the required order.|C1|See definition of HkCreate component||||
d||The housekeeping reporting subservice shall reject any request to create a housekeeping parameter report structure if any of the following conditions occurs: \newline 1. that request contains an instruction that refers to a housekeeping parameter report structure that is already in use; \newline 2. the same parameter is identified more than once in that request; \newline 3. the resources allocated to the hosting of housekeeping parameter report structures are exceeded.|C1|See definition of Start Action of HkCreate component||||
e||For each request to create a housekeeping parameter report structure that is rejected, the housekeeping reporting subservice shall generate a failed start of execution notification.|C1|See definition of Start Action of HkCreate component||||
f||For each valid instruction to create a housekeeping parameter report structure, the housekeeping reporting subservice shall: \newline 1. create that definition; \newline 2. set its periodic generation action status to 'disabled'.|C1|See definition of Progress Action of HkCreate component||||
6.3.3.5.2a|Delete housekeeping parameter report structures|The housekeeping reporting subservice shall provide the capability to delete housekeeping parameter report structures if the capability to create a housekeeping report definition is provided by that subservice.|C1|The PUS Extension of the CORDET Framework supports command (3,3)||||
b||Each request to delete housekeeping parameter report structures shall contain one or more instructions to delete a housekeeping parameter report structure.|C1|See definition of HkDelete component||||
c||Each instruction to delete a housekeeping parameter report structure shall contain: \newline 1. the housekeeping parameter report structure identifier to delete.|C1|See definition of HkDelete component||||
d||The housekeeping reporting subservice shall reject any instruction to delete a housekeeping parameter report structure if any of the following conditions occurs: \newline 1. that instruction refers to a housekeeping parameter report structure that is unknown; \newline 2. that instruction refers to a housekeeping parameter report structure whose periodic generation action status is 'enabled'.|C1|See definition of Start Action of HkDelete component||||
e||For each instruction to delete a housekeeping parameter report structure that it rejects, the housekeeping reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of HkDelete component||||
f||The housekeeping reporting subservice shall process any valid instruction that is contained within a request to delete housekeeping parameter report structures regardless of the presence of faulty instructions.|C1|See definition of Start Action of Progress Action of HkDelete component||||
g||For each valid instruction to delete a housekeeping parameter report structure, the housekeeping reporting subservice shall: \newline  1. delete the housekeeping parameter report structure referred to by that instruction.|C1|See definition of Start Action of Progress Action of HkDelete component||||
6.3.3.6a|Report housekeeping parameter report structures|The housekeeping reporting subservice capability to report housekeeping parameter report structures shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports both command (3,9) and report (3,10)||||
b||Each request to report housekeeping parameter report structures shall contain one or more instructions to report a housekeeping parameter report structure.|C1|See definition of HkRepStructCmd component||||
c||Each instruction to report a housekeeping parameter report structure shall contain: \newline  1. the housekeeping parameter report structure identifier to report.|C1|See definition of HkRepStructCmd component||||
d||The housekeeping reporting subservice shall reject any instruction to report a housekeeping parameter report structure if: \newline 1. that instruction refers to a housekeeping parameter report structure that is unknown.|C1|See definition of Start Action of HkRepStructCmd component||||
e||For each instruction to report a housekeeping parameter report structure that it rejects, the housekeeping reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of HkRepStructCmd component||||
f||The housekeeping reporting subservice shall process any valid instruction that is contained within a request to report housekeeping parameter report structures regardless of the presence of faulty instructions.|C1|See definition of Progress Action of HkRepStructCmd component||||
g||For each valid instruction to report a housekeeping parameter report structure, the housekeeping reporting subservice shall generate a single housekeeping parameter report structure report that contains exactly one housekeeping parameter report structure notification that includes: \newline 1. the housekeeping parameter report structure identifier; \newline 2. If the housekeeping reporting subservice provides the capability for managing the periodic generation of housekeeping parameter reports, the periodic generation action status; \newline 3. the collection interval; \newline 4. the ordered list of simply commutated parameters; \newline 5. the ordered list of super commutated parameter sets. 86|C1|See definition of Progress Action of HkRepStructCmd component and definition of HkRepStructRep component. With respect to point 2, it is noted that the periodic generation of housekeeping reports is supported by the service 3 implementation of the PUS Extension of the CORDET Framework||||
6.3.3.7a|Generate a one shot report for housekeeping parameter report structures|The housekeeping reporting subservice capability to generate a one shot report for housekeeping parameter report structures shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports both command (3,27) and report (3,25)||||
b||Each request to generate a one shot report for housekeeping parameter report structures shall contain one or more instructions to generate a one shot report for a housekeeping parameter report structure.|C1|See definition of HkOneShotRep component||||
c||Each instruction to generate a one shot report for a housekeeping parameter report structure shall contain: \newline 1. the housekeeping parameter report structure identifier of the report to generate.|C1|See definition of HkOneShotRep component||||
d||The housekeeping reporting subservice shall reject any instruction to generate a one shot report for a housekeeping parameter report structure if: \newline 1. that instruction refers to a housekeeping parameter report structure that is unknown.|C1|See definition of Start Action of HkOneShotRep component||||
e||For each instruction to generate a one shot report for a housekeeping parameter report structure that it rejects, the housekeeping reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of HkOneShotRep component||||
f||The housekeeping reporting subservice shall process any valid instruction that is contained within a request to generate a one shot report for housekeeping parameter report structures regardless of the presence of faulty instructions.|C1|See definition of Progress Action of HkOneShotRep component||||
g||For each valid instruction to generate a one shot report for a housekeeping parameter report structure, the housekeeping reporting subservice shall generate a single housekeeping parameter report.|C1|See definition of Progress Action of HkOneShotRep component||||
6.3.3.8|Append parameters to a housekeeping parameter report structure||n.a.|This capability is not supported by the PUS Extension of the CORDET Framework||||
6.3.3.9|Modify the collection interval of housekeeping parameter report structures||n.a.|This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.3.310|Report the periodic generation properties of housekeeping parameter report structures||n.a.|This capability is not yet supported by the PUS Extension of the CORDET Framework||||
6.3.4|Diagnostic reporting subservice||C1/C2|The components offerd by the PUS Extension to implement housekeeping-related capabilities also implement the corresponding diagnostic-related capability. Hence, the level of compliance to the diagnostic reporting subservice requirements is the same as the level of compliance to the homologous housekeeping reporting sub-service requirements.||||
6.3.5|Parameter functional reporting configuration subservice||n.a.|This subservice is not supported by the PUS Extension of the CORDET Framework||||
6.4|Parameter Statistics Reporting|Definition of service 4|n.a.|This service is not supported by the PUS Extension of the CORDET Framework||||
6.5|Event Reporting|Definition of service 5||||||
6.5.2.1.1a|Event reporting subservice|Each event reporting service shall contain at least one event reporting subservice.|C1|The PUS Extension of the CORDET Framework supports service 5 in full||||
6.5.2.2a|Application process|Each application process shall host at most one event reporting subservice provider.|C1|An application instantiated from the CORDET Framework can only provide one instance of a service of a given type and of its sub-services||||
6.5.3a|Event Definition|The list of events that can be detected by the event reporting subservice shall be declared when specifying that subservice.|C2|The set of events that can be reported by the service 5 implementation of the PUS Extension of the CORDET Framework is an adaptation point (see table \ref{tab:CR-S5-1})||||
b||For each event that can be detected by the event reporting subservice, the event definition used to report on the occurrences of that event, the related event severity level, the event definition identifier and, if any, auxiliary data shall be declared when specifying that subservice.|C2|Application developers must provide this information in order to define the EvtRep components which encapsulate their event reports (see table \ref{tab:CR-S5-1})||||
c||Each event definition shall be uniquely identified by the combination of the identifier of the application process that hosts the event reporting subservice provider that is in charge to report on the occurrences of the associated event and an event definition identifier.|C2|Both the definition of the APIDs and of the EIDs are under the responsibility of application developers ||||
6.5.4a|Event Reporting|The event reporting subservice shall provide the capability to generate event reports.|C1|See definition of the EvtRep component in table \ref{tab:CR-S5-1}||||
b||The destination of the event reports generated by the event reporting subservice shall be declared when specifying that subservice.|C2|The destination of an event report must be specified by an application at run-time when the event is configured. See definition of EvtRep component in table \ref{tab:CR-S5-1}||||
c||If the event reporting subservice supports the capability for controlling the generation of event reports specified in clause 6.5.5, that subservice shall generate an event notification whenever it detects the occurrence of an event associated to an event definition for which event report generation is enabled.|C1|The PUS Extension of the CORDET Framework provides the capability to enable and disable event reports (see definition of EvtEnableCmd and EvtDisableCmd components)||||
d||If the event reporting subservice does not support the capability for controlling the generation of event reports specified in clause 6.5.5, that subservice shall generate an event notification whenever it detects the occurrence of an event.|n.a.|See previous requirement||||
e||Each event notification shall contain: \newline 1. the event definition identifier of the associated event definition; \newline 2. the auxiliary data associated to that event definition, if any.|C1|See definition of the EvtRep component||||
f||For each event notification that it generates, the event reporting subservice shall generate an event report of the related event severity level, which contains that notification.|C1|The event notification is encapsulated in the EvtRep component. The processing of this component by the CORDET Framework results in the generation of the corresponding event report||||
6.5.5.1a|Event report generation status|For each event that can be detected by the event reporting subservice, the subservice shall maintain a status indicating whether the event report generation for that event is enabled or disabled.|C1|The CORDET Framework provides the capability to track the enable status of any out-going command or report (see OutRegistry component in [CR-SP])||||
b||For each event that can be detected by the event reporting subservice, the initial enabled or disabled event report generation status shall be declared when specifying that subservice.|C1/C2|The default enable status of all out-going commands or reports in the CORDET Framework is: 'enabled'. A different initial value can be achieved by configuring the OutRegistry during the application initialization phase.||||
6.5.5.2a|Enable the report generation of event definitions|The event reporting subservice capability to enable the report generation of event definitions shall be declared when specifying that subservice.|C1|The PUS Extension supports command (5,5)||||
b||Each request to enable the report generation of event definitions shall contain one or more instructions to enable the report generation of an event definition.|C1|See definition of the EvtEnableCmd component||||
c||Each instruction to enable the report generation of an event definition shall contain: \newline 1. the event definition identifier of the event definition to enable.|C1|See definition of the EvtEnableCmd component||||
d||The event reporting subservice shall reject any instruction to enable the report generation of an event definition if: \newline 1. that instruction refers to an unknown event definition.|C1|See definition of Start Action of EvtEnableCmd component||||
e||For each instruction to enable the report generation of an event definition that it rejects, the event reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of EvtEnableCmd component||||
f||The event reporting subservice shall process any valid instruction that is contained within a request to enable the report generation of event definitions regardless of the presence of faulty instructions.|C1|See definition of the EvtEnableCmd component||||
g||For each valid instruction to enable the report generation of an event definition, the event reporting subservice shall: set the event report generation status of the event definition to enabled.|C1|See definition of Progress Action of EvtEnableCmd component||||
6.5.5.3a|Disable the report generation of event definitions|The event reporting subservice shall provide the capability to disable the report generation of event definitions if the capability to enable the report generation of event definitions is provided by that subservice.|C1|The PUS Extension supports command (5,6)||||
b||Each request to disable the report generation of event definitions shall contain one or more instructions to disable the report generation of an event definition.|C1|See definition of the EvtDisableCmd component||||
c||Each instruction to disable the report generation of an event definition shall contain: \newline 1. the event definition identifier of the event definition to disable.|C1|See definition of the EvtDisableCmd component||||
d||The event reporting subservice shall reject any instruction to disable the report generation of an event definition if: \newline 1. that instruction refers to an unknown event definition.|C1|See definition of Start Action of EvtDisableCmd component||||
e||For each instruction to disable the report generation of an event definition that it rejects, the event reporting subservice shall generate the failed start of execution notification for that instruction.|C1|See definition of Start Action of EvtDisableCmd component||||
f||The event reporting subservice shall process any valid instruction that is contained within a request to disable the report generation of event definitions regardless of the presence of faulty instructions.|C1|See definition of the EvtDisableCmd component||||
g||For each valid instruction to disable the report generation of an event definition, the event reporting subservice shall: set the event report generation status of the event definition to disabled.|C1|See definition of Progress Action of EvtDisableCmd component||||
6.5.5.4a|Report the list of disabled event definitions|The event reporting subservice capability to report the list of disabled event definitions shall be declared when specifying that subservice.|C1|The PUS Extension supports command (5,7)||||
b||Each request to report the list of disabled event definitions shall contain exactly one instruction to report the list of disabled event definitions.|C1|See definition of the EvtRepDisabledCmd component||||
c||For each valid instruction to report the list of disabled event definitions, the event reporting subservice shall: generate, for each event definition whose event report generation status is disabled, a single disabled event definition notification that includes:the related event definition identifier.|C1|See definition of the EvtRepDisabledCmd component||||
d||For each valid request to report the list of disabled event definitions, the event reporting subservice shall generate a single disabled event definitions list report that includes all related disabled event definition notifications.|C1|See definition of the EvtRepDisabledCmd and EvtRepDisabledRep components||||
6.5.6|Subservice observables|The following observables shall be defined for the event reporting subservice: \newline 1. per severity level: \newline (a) the accumulated number of detected event occurrences, \newline (b) the number of event definitions whose event report generation status is disabled, \newline (c) the accumulated number of generated event reports, \newline (d) the event definition identifier of the last generated event Report, \newline (e) the generation time of the last event report.|C1|See definition of Observable Data Items associated to service 5||||
6.6|Memory Management|Definition of service 6|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.8|Function Management|Definition of service 8|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.9|Time Management|Definition of service 9|n.a.|This service is not yet supported by the PUS Extension of the CORDET Framework||||
6.11|Time-Base Scheduling|Definition of service 11||||||
6.11.2.1.1a|Time-based scheduling subservice|Each time-based scheduling service shall contain at least one time-based scheduling subservice.|C1|The PUS Extension of the CORDET Framework supports the time-based scheduling sub-service and it allows one instance of the service to be deployed in an application. The service only contains one instance of its sub-service.||||
6.11.2.2a|Application process|Each application process shall host at most one time-based scheduling subservice provider.|C1|See statement of compliance to previous clause||||
6.11.3.1a|Application process|The list of application processes that can be addressed by the time-based scheduling subservice when releasing requests shall be declared when specifying that subservice.|C1|TBD||||
6.11.4.1a|Capability|Whether the time-based scheduling subservice supports the capability for managing sub-schedules shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the sub-schedule concept||||
b||Whether the time-based scheduling subservice supports the capability for managing groups specified shall be declared when specifying that subservice.|C1|The PUS Extension of the CORDET Framework supports the group concept||||
6.11.4.2a|General|Each scheduled activity definition shall consist of: 1. the request; 2. the release time of that request; 3. if sub-schedules are supported, the identifier of the sub-schedule to which that scheduled activity is associated; 4. if groups are supported, the identifier of the group to which that scheduled activity is associated.|C1|See definition of attributes of a time-based activity or TBA||||
b||Each scheduled activity definition shall be identified by a scheduled activity identifier that corresponds to the identifier of the request contained in that definition.|C1|A scheduled activity is identified by an integer in the range from 1 to SCD\_N\_TBA. The identifier of the request in the TBA (source, destination and source sequence counter of the request) can be reconstructed from the information in the TBA which includes a pointer to the InCommand encapsulating the request.||||
c||The maximum number of scheduled activity definitions that the time-based scheduling subservice can insert within the time-based schedule and contemporaneously process at any time shall be declared when specifying that subservice.|C2|This is given by SCD\_N\_TBA||||
d||The time margin that the time-based scheduling subservice uses when inserting activities in the time-based schedule or time-shifting activities shall be declared when specifying that subservice.|C1|The time-margin is one of the parameters associated to the time-based scheduling service||||
e||The maximum delta time between the release time specified in a scheduled activity definition and the real release time of the related request shall be declared when specifying that subservice.|C2|This delta-time depends on how frequently the TBS is processed by the host application and on how frequently commands and processed by the host application. Both items are defined by the application designer as part of the instantiation process of the PUS Extension of the CORDET Framework||||
6.11.4.3.1a|Status|The time-based scheduling subservice shall maintain a status indicating whether the overall time-based schedule execution function is enabled or disabled.|C1|The PUS Extension of the CORDET Framework supports the (11,1) and (11,2) commands and defines the enable status of the TBS as a service 11 observable||||
b||When starting the time-based scheduling subservice, the time-based schedule execution function status shall be set to disabled.|C1|The default enable status of the TBS is: disabled||||
6.11.4.3.2a|Enable the time-based schedule execution function|The time-based scheduling subservice shall provide the capability to enable the time-based schedule execution function.|C1|The PUS Extension of the CORDET Framework supports command (11,1)||||
b||Each request to enable the time-based schedule execution function shall contain exactly one instruction to enable the time-based schedule execution function.|C1|See definition of component ScdEnbTbs||||
c||"For each valid instruction to enable the time-based schedule execution
function, the time-based scheduling subservice shall: 1. set the time-based schedule execution function status to enabled."|C1|See definition of progress action of component ScdEnbTbs||||
6.11.4.3.3a|Disable the time-based schedule execution function|The time-based scheduling subservice shall provide the capability to disable the time-based schedule execution function.|C1|The PUS Extension of the CORDET Framework supports command (11,2)||||
b||Each request to disable the time-based schedule execution function shall contain exactly one instruction to disable the time-based schedule execution function.|C1|See definition of component ScdDisTbs||||
c||"For each valid instruction to disable the time-based schedule execution
function, the time-based scheduling subservice shall: 1. set the time-based schedule execution function status to disabled."|C1|See definition of progress action of component ScdDisTbs||||
6.11.4.4a|Reset the time-based schedule|The time-based scheduling subservice shall provide the capability to reset the time-based schedule.|C1|The PUS Extension of the CORDET Framework supports command (11,3)||||
b||Each request to reset the time-based schedule shall contain exactly one instruction to reset the time-based schedule.|C1|See definition of component ScdResTbs||||
